,play,situation,qtr,drive_num,pos_team,drive_plays,drive_yds,drive_time,down,yds_to_1st_down,field_pos,game_date,game_id,season,month,date_full,game_hour,stadium_city,away_team,home_team,away_team_final_score,home_team_final_score,game_week,yardline_100,passer,receiver,intended_receiver,pass_attempt,pass_comp,passing_yds,rusher,rush_yds,yds_gained_per_play,td,pass_td,rush_td,extra_point_attempt,extra_point_result,fg_attempt,fg_attempt_result,fg_attempt_distance,fg_kicker,kickoff_player,kickoff_yds,kickoff_returner,kickoff_ret_yds,punt,punt_td,punt_yds,punter,timeout,def_player_action,int,int_td,int_player,int_ret_yds,sack,sack_yds,fumble,fumble_td,fum_player,fum_force_player,fum_recov_player,fum_recov_team,penalty,penalty_type,penalty_yds,penalty_team,penalty_player
32,Timeout,"Timeout Istanbul Rams, clock 05:07.",1,6,Istanbul Rams,3,5,0:24,1st,10,IR05,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,95,,,,0,0,,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,1,,0,0,,,0,,0,0,,,,,0,,0,,
33,Pass,J. Stegman pass incomplete to J. Conwell (K. Beverly).,1,6,Istanbul Rams,3,5,0:24,1st,10,IR05,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,95,J. Stegman,,J. Conwell,1,0,0,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,K. Beverly,0,0,,,0,,0,0,,,,,0,,0,,
34,Penalty,PENALTY CC Defensive Offside (N. Liesen) 5 yards to the IR10.,1,6,Istanbul Rams,3,5,0:24,2nd,10,IR05,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,95,,,,0,0,,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,,0,0,,,0,,0,0,,,,,1,Defensive Offside,5,Cologne Centurions,N. Liesen
35,Pass,J. Stegman pass incomplete to M. Kinoshita.,1,6,Istanbul Rams,3,5,0:24,2nd,5,IR10,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,90,J. Stegman,,M. Kinoshita.,1,0,0,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,,0,0,,,0,,0,0,,,,,0,,0,,
36,Pass,"J. Stegman pass intercepted by M. Scherenberg at the IR28, M. Scherenberg return 28 yards to the IR0, TOUCHDOWN, clock 04:43.",1,6,Istanbul Rams,3,5,0:24,3rd,5,IR10,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,90,J. Stegman,,,1,0,,,,0,1,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,,1,1,M. Scherenberg,28,0,,0,0,,,,,0,,0,,
37,Point after try,J. Appelt kick attempt good.,1,7,Cologne Centurions,0,0,0:00,1st,10,IR15,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,15,,,,0,0,,,,0,0,0,0,1,good,0,nan,0,,,,,,0,0,0,,0,,0,0,,,0,,0,0,,,,,0,,0,,
38,Kickoff,"J. Appelt kickoff 62 yards to the IR8, J. Conwell return 13 yards to the IR21 (S. Vogel,M. Oebels).",1,7,Cologne Centurions,0,0,0:00,1st,0,CC30,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,70,,,,0,0,,,,0,0,0,0,0,nan,0,nan,0,,J. Appelt,62,J. Conwell,13,0,0,0,,0,"S. Vogel,M. Oebels",0,0,,,0,,0,0,,,,,0,,0,,
39,Drive start,ISTANBUL RAMS drive start at 04:37.,1,8,Istanbul Rams,1,0,0:08,1st,10,IR21,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,79,,,,0,0,,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,,0,0,,,0,,0,0,,,,,0,,0,,
40,Pass,"J. Stegman pass intercepted by F. Simon at the IR32, F. Simon return 32 yards to the IR0, TOUCHDOWN, clock 04:29, J. Appelt kick attempt good.",1,8,Istanbul Rams,1,0,0:08,1st,10,IR21,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,79,J. Stegman,,,1,0,,,,0,1,0,0,1,good,0,nan,0,,,,,,0,0,0,,0,,1,1,F. Simon,32,0,,0,0,,,,,0,,0,,
41,Kickoff,"J. Appelt kickoff 70 yards to the IR0, touchback.",1,9,Cologne Centurions,0,0,0:00,1st,0,CC30,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,70,,,,0,0,,,,0,0,0,0,0,nan,0,nan,0,,J. Appelt,70,,,0,0,0,,0,,0,0,,,0,,0,0,,,,,0,,0,,
